title,description,source,url,published_at,category,judgement
When will Canada hear from Justin Trudeau?,Trudeau leaves Canada in suspense as anxious Liberals urge him to go.,nationalpost.com,https://nationalpost.com/news/canada/when-will-canada-hear-from-justin-trudeau,2025-01-03T16:12:23.000000Z,,
Trudeau to attend cabinet committee meeting on Trump tariff threat - National,The committee meets as Donald Trump's Jan. 20 inauguration quickly approaches. Trump promised to enact 25 per cent tariffs on Canadian and Mexican imports,globalnews.ca,https://globalnews.ca/news/10941457/trudeau-cabinet-committee-meeting-trump-tariff-threat/,2025-01-03T17:11:16.000000Z,,
Here's what Trudeau is doing today amid calls for resignation,"In Ottawa, Trudeau continues to face pressure to step down as Liberal leader after Chrystia Freeland's decision to quit last month.",nationalpost.com,https://nationalpost.com/news/canada/trudeau-attending-u-s-relations-cabinet-committee-meeting,2025-01-03T17:31:58.000000Z,,
"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster.",nationalobserver.com,https://www.nationalobserver.com/2025/01/06/opinion/justin-trudeau-good-bad-ugly,2025-01-06T00:00:00.000000Z,,
"Canada PM Trudeau is likely to announce resignation, source says","An increasing number of Liberal parliamentarians, alarmed by a series of gloomy polls, have publicly urged Trudeau to quit.",jpost.com,https://www.jpost.com/breaking-news/article-836223,2025-01-06T01:51:02.000000Z,,
Canadian PM Justin Trudeau likely to resign: Report,"One source, who recently spoke with the Prime Minister, said Trudeau understands the importance of making an announcement ahead of the caucus meeting to avoid t...",rediff.com,https://www.rediff.com/news/report/canadian-pm-justin-trudeau-likely-to-resign-report/20250106.htm,2025-01-06T03:58:17.000000Z,,
Trudeau goneburger,"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called...",kiwiblog.co.nz,https://www.kiwiblog.co.nz/2025/01/trudeau_goneburger.html,2025-01-06T04:35:01.000000Z,,
Canadian PM Trudeau likely to resign this week: report,"Announcement to come before national Liberal Party caucus on Wednesday, according to sources.",dawn.com,https://www.dawn.com/news/1883459/canadian-pm-trudeau-likely-to-resign-this-week-report,2025-01-06T07:03:14.000000Z,,
Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning",abc.net.au,https://www.abc.net.au/news/2025-01-06/why-justin-trudeau-is-resigning/104789274,2025-01-06T08:52:10.000000Z,,
Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?",cbc.ca,https://www.cbc.ca/radio/frontburner/is-justin-trudeau-about-to-resign-1.7423525?cmp=rss,2025-01-06T13:00:00.000000Z,,
